Hackerspace,Hackerspace#,Country,State,City,Website,Date-of-founding,Hackerspace-status,data-sort-value,
Spread the Weird Studio,Spread the Weird Studio,United States of America,Arizona,Phoenix,http://spreadtheweird.com/,22 June 2006,active,2453908.5,
Www.xlabs-usf.com,Www.xlabs-usf.com,United States of America,Florida,Tampa,http://www.xlabs-usf.com,1 July 2006,active,2453917.5,
Electron Club,Electron Club,United Kingdom,Scotland,Glasgow,http://www.electronclub.org/,29 July 2006,active,2453945.5,
Computerlabor@KuZeB,Computerlabor@KuZeB,Switzerland,Aargau,Bremgarten,http://computerlabor.kire.ch,29 August 2006,closed,2453976.5,
TechShop Menlo Park,TechShop Menlo Park,United States of America,California,Redwood City,http://www.techshop.ws,30 September 2006,active,2454008.5,
HappyLab,HappyLab,Austria,Vienna,Vienna,http://www.happylab.at/,7 October 2006,active,2454015.5,
MacGyver,MacGyver,Czech Republic,,Prague,http://macgyver.siliconhill.cz/,10 October 2006,active,2454018.5,
Experimedia,Experimedia,Peru,Lima,Lima,http://experimedia.com.pe,15 November 2006,active,2454054.5,
3D Berlin Headquarter,3D Berlin Headquarter,Germany,Berlin,Berlin,http://www.youin3d.com/hackerspace-3d-berlin-headquarter/,5 December 2006,active,2454074.5,
Fraternal Order of Buffalo,Fraternal Order of Buffalo,United States of America,New York,Buffalo Lab,http://www.orderofbuffalo.com/,2007,active,2454101.5,
Dock18,Dock18,Switzerland,Zürich,Zürich,http://www.dock18.ch/,1 January 2007,active,2454101.5,
Trebelab,Trebelab,Spain,Galiza,Vigo,http://trebelab.arkipelagos.net,2 January 2007,active,2454102.5,
UberVolt,UberVolt,United Kingdom,Wiltshire,Swindon,http://www.ubervolt.net,3 January 2007,building,2454103.5,
Realraum,Realraum,Austria,Styria,Graz,http://realraum.at/,1 March 2007,active,2454160.5,
The WatershedPDX,The WatershedPDX,United States of America,Oregon,"Portland, OR",http://watershedpdx.com/,1 March 2007,active,2454160.5,
Noisebridge,Noisebridge,United States of America,California,San Francisco,https://www.noisebridge.net/,3 March 2007,active,2454162.5,
23b Shop,23b Shop,United States of America,California,Fullerton,http://shop.23b.org/,1 May 2007,active,2454221.5,
LAG,LAG,Netherlands,Noord Holland,Amsterdam,https://www.laglab.org,10 May 2007,active,2454230.5,
Thessaloniki GNU-Linux Lab Hackerspace,Thessaloniki GNU-Linux Lab Hackerspace,Greece,Central Macedonia,Thessaloniki,http://www.gnugr.org,21 May 2007,active,2454241.5,
